Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,SummaryQuote
NUW,Nuveen AMT-Free Municipal Value Fund,14.74,$226.98M,2009,n/a,n/a,https://www.nasdaq.com/symbol/nuw
NEA,Nuveen AMT-Free Quality Municipal Income Fund,12.37,$3.25B,2002,n/a,n/a,https://www.nasdaq.com/symbol/nea
NAZ,Nuveen Arizona Quality Municipal Income Fund,11.65,$134.97M,1992,n/a,n/a,https://www.nasdaq.com/symbol/naz
NKX,Nuveen California AMT-Free Quality Municipal Income Fund,12.44,$591.9M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nkx
NCB,Nuveen California Municipal Value Fund 2,14.9,$49.17M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ncb
NCA,"Nuveen California Municipal Value Fund, Inc.",9.08,$255.07M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nca
NAC,Nuveen California Quality Municipal Income Fund,12.44,$1.8B,1999,n/a,n/a,https://www.nasdaq.com/symbol/nac
NTC,Nuveen Connecticut Quality Municipal Income Fund,11.17,$160.8M,1993,n/a,n/a,https://www.nasdaq.com/symbol/ntc
JCE,Nuveen Core Equity Alpha Fund,11.34,$181.76M,2007,n/a,n/a,https://www.nasdaq.com/symbol/jce
JCO,Nuveen Credit Opportunities 2022 Target Term Fund,8.51,$235.59M,2017,n/a,n/a,https://www.nasdaq.com/symbol/jco
JQC,Nuveen Credit Strategies Income Fund,7.17,$973.13M,2003,n/a,n/a,https://www.nasdaq.com/symbol/jqc
JDD,Nuveen Diversified Dividend and Income Fund,8.66,$171M,2003,n/a,n/a,https://www.nasdaq.com/symbol/jdd
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund,15.04,$543.14M,2014,n/a,n/a,https://www.nasdaq.com/symbol/diax
JEMD,Nuveen Emerging Markets Debt 2022 Target Term Fund,7.41,$105.49M,2017,n/a,n/a,https://www.nasdaq.com/symbol/jemd
JMF,Nuveen Energy MLP Total Return Fund,7.62,$310.79M,2011,n/a,n/a,https://www.nasdaq.com/symbol/jmf
NEV,Nuveen Enhanced Municipal Value Fund,12.83,$320.11M,2009,n/a,n/a,https://www.nasdaq.com/symbol/nev
JFR,Nuveen Floating Rate Income Fund,8.86,$504.3M,2004,n/a,n/a,https://www.nasdaq.com/symbol/jfr
JRO,Nuveen Floating Rate Income Opportuntiy Fund,8.74,$354.51M,2004,n/a,n/a,https://www.nasdaq.com/symbol/jro
